	texts	stars	ton
0	Ужаснее почты не встречала. Вечные очереди, ещё и рабочее время сократили. Как быть людям которые работают с раннего утра и до позднего вечера. уже несколько дней не могу получить посылку. Работает один оператор и на приём и на выдачу. Ещё и еле шевелится, работает вечно с недовольством.	1	0
1	Как так получилось, что центральное отделение почты - худшее отделение в городе? Единственные его плюсы - работа в понедельник и до поздна. Нюансы - километровая очередь, в которой можно простоять час и психанув уйти, один оператор в понедельник вечером, а так же отсутствие безналичного рассчёта и невыносимая духота. Никогда не возникало таких проблем в районных отделениях города, не ожидал и от центрального, но что есть, то есть.	1	0
2	"Исходя из опыта взаимодействия с почтой России, в каждом городе есть крупные и классные отделения, вот это как раз такое отделение.
Конечно случаются спорные ситуации, но относитесь уважительно к сотрудникам почты.
Первое место в г. Абакан прочно держит именно это отделение "	5	1
3	Отделение огонь. Время работы временно до 20:00 (на двери информация указана)	5	1
4	Мне нравится это почтовое отделение. Работают допоздна. Персонал мне попадается исключительно вежливый. Никогда не было никаких проблем.	5	1
5	Сегодня отправляли 6 посылок себе на Камчатку, замучились бы если не сотрудницы, они нам помогали с оформлением онлайн посылок. Огромное спасибо сотрудницам, остались очень довольны вашей работой	5	1
6	Сотрудница почты отказалась отправлять посылку обычного формата, сказала, что отправляют только ЕМС (в три раза дороже). Какие основания - непонятно.	1	0
7	Позвонить по горячей линии - это ацкий ад, оперативности - 0. Разговариваешь с ботом, который постоянно тебя куда-то перенаправляет доводя до исступления, достучаться до оператора, в принципе, не реально, позвонив для получения информации рискуешь потерять время на безрезультатное общение с ботом.	1	0
8	Халатное отношение, сотрудники хамят. Крайне не советую заказывать сюда.	1	0
9	Тормоза, а не работники. Ещё эти бабушки вечно долго стоят, мне просто нады за 30 секунд забрать, а я стоя 10минут	1	0
10	В 8 утра отправлял посылку. Очередь минимальная была. Быстро, четко. )	5	1
11	"все дело в лени сотрудников и их нежелании обращаться с посетителями должным образом. почему нельзя соблюдать вежливость? две работницы почты на моих глазах просто наорали на пожилую женщину. она, как и все, кому пришлось оказаться в этом месте, провела довольно много времени в ожидании и справедливо возмутилась. на нее просто налаяли две собаки, две хамки, которым пришлось отдуваться за своих ленивых коллег. на три кассы в зале получения/отправления посылок было всего два сотрудника, и то, стояли они, почему-то, на одной. отвратительно долго, нельзя расплатиться картой: ""рядом есть Сбер, сходите туда"". в свою очередь интересно, куда же люди ежедневно отправляют этих женщин?"	1	0
12	Просто отвратительное обслуживание! Хамское и непрофессиональное. Складывается впечатление, что вы набираете персонал по принципу самых тупых и наглых женщин. Отправить письмо - отстоять 3 очереди по часу, это полный пипец	1	0
13	очень часто заказываю посылки с зарубежа. Всегда быстро доставляют. Всегда идут на встречу, перезванивают. Отдельное спасибо, ребятам с отделения 655990!	5	1
14	07.01.2022 не работало отделение, но никаких объявлений не удосужились написать.	2	
15	Только что вышла из отделения. Мой талон т118 так и не вызвали. Понимаю много работы, ведь в зале на 6 операторов целых 2 ( два) человека стояло 25 минут, и за 25 минут электронная очередь не сдвинулась. Как оказалось ждала я зря, ведь на почте не продают почтовых открыток. ✌️	2	
16	Мне нахамила оператор, перепутала посылки при отправке, предъявила мне же, очень плохо Почта России. Пока стоял в очереди наслушался криков и истерики в сеседние окошки. ОТВРАТИТЕЛЬНО. Я часто отправляю посылки но так плохо как сегодня ещё не было.	1	0
17	"Хотел отправить открытку. В наличии были только с днём рождения. 
Очередей нет. Персонал приветливый
Зато объяснили где купить открытку. В магазе на против."	4	
18	Ужасное обслуживание. Взяла талон, 20 минут простояла у окна и никто не подошёл	1	0
19	Ужасное обслуживание, не отдали посылку, хамски обращались. Работники отстой. Судя по большинствц отзывов, можно понять, что это не почта, а полный пиз...ц	1	0
20	Оператор Мельник Марина Юрьевна, добрая, отзывчивая девушка, сегодня пришли отправлять посылку, она нам вежливо подсказала как лучше отправить, на соседней стойке работала женщина, хамка, начала орать при всех людях, только благодаря Марине Юрьевне, ставлю 5 звёзд за ее обслуживание !!!	5	1
21	Смените курицу управляющую, она может решить только какой рукой поковыряться в носу	1	0
22	Ужасное, хамское обслуживание!! Одна вообще не умеет работать, разобраться в документах не может, бегает туда-сюда (путают наименование получателя и отправителя), таким образом очередь задерживает. Сказали позвонить на горячую линию, узнать на счёт переадресации, звоню, итог: выходит женщина, истерично орет, якобы от работы отвлекаю, сказала не звонить по этому номеру вообще.	1	0
23	Что бы отправить письмо ЕМS нужно взять талончик и подождать своей очереди. В окне дают заполнить бланк и опять надо брать талончик повторно что бы отправить это письмо!!!! Это что за бред???? Либо сразу давайте бланки ( пока стоишь ждёшь свою очередь заполняешь) либо тогда пусть повторно вызывают после следующего подошедшего . Ну бред какой то. Отстоял, услугу не получил и опять бери талон и опять стой жди. Ужас конечно….	1	0
24	"Отвратительное обслуживание. Постоянное хамство.
Наименование получателя и отправителя постоянно путают. Отправили заявление в страховую компанию, оператор неверно указала получателя. Страховая отказала в выплате, т.е. по трек-номеру получатель не тот. Разогнать всех к чёртовой матери, сделать электронное обслуживание."	1	0
25	"УЖАС УЖАСНЫЙ
ОТВРАТИТЕЛЬНОЕ ОБСЛУЖИВАНИЕ
3 посылки уже пропали пропадом, одну кому то уже выдали, вторая у почтальона потерялась, третья вообще обратно ушла без извещений и даже позвонить не могли!
1 отделение куда лучше работает, всегда по-человечески. Здесь же даже с выше уполномочеными решить ничего нельзя.
Даже обсуждать не хочется ничего больше. Видимо мало ещё наворовали и штрафов нагребли"	1	0
26	Получил извещение о том, что пришло заказное письмо. Приехал за ним в отделение. Оказывается эти товарищи сначала разносят извещения и только потом передают отправления на выдачу. Причем время когда это произойдет неизвестно. В итоге получить письмо я не смог, ждать пока они раздуплятся времени тоже не было. Работу нужно работать. Поеду в другой день. Спасибо почта россии, что до сих пор держите марку. Хотя было бы правильней переименоваться в слоупочта.	1	0
27	кошмарные очереди, постоянно не работает терминал, ен выдает чеки, хотя ленту заправили только что! очередь вызывает сама, хотя предыдущий человек еще не закончил и не отправил письмо!	2	
28	"Постоянно задержки с обработкой посылок, на сайте почты напишут что посылка в отделении-приходите получайте. Но в отделении получите только через пару дней, и попробуйте удивлённо возразить: как же так, ведь пригласили получить???
Узнаете что вы ничего не соображаете в работе почты... Но с другой стороны, что с них требовать? Женщинам старше 40 тоже надо где то работать, и ждать что они будут очень расторопны глупо"	1	0
29	"30 сентября вечером после 18.00, не приняли посылку для отправки. Центральное отделение почты, а вариантов упаковки нестандартной (80см×50см×12см) посылки нет. Мешки оказывается только для авиапересылки. Разговаривать с клиентами не умеют, оператор с каменным лицом, как робот повторяет одно и то же. Мы приехали на такси уже с упакованной посылкой в коробку от телевизора и привезли с собой чёрные плотные мешки, чтоб сверху упаковать, чтоб без надписей и скотча было. Нельзя оказывается, надо обязательно обшивать светлой тканью, швами внутрь и т. д. На главном сайте ""Почты России"" написано, что отправитель может сделать отправку посылки в своей упаковке. Тогда вопрос ""В чём проблема? Почему я должна таскаться по городу упакованной посылкой, тратить деньги на такси и в итоге с ней же вернуться домой?"" Ок! Почта России не желает развиваться, не работает с клиентами по отправке посылок? Что ж, отправлю транспортной компанией и больше никогда за этой услугой в таких случаях к"" Почте России"" обращаться не буду, осталось очень неприятное впечатление."	2	
30	Большое отделение,работает много окон, стоит автомат с талонами, не приходится долго стоять в очереди, сотрудники очень оперативные и отзывчивые, удобный режим работы	5	1
31	Отправляю посылки с этого отделения. Просто экономия времени, все равно приедет сюда. Персонал вежливый. Помогут собрать коробку и сориентируют по размеру посылки.	5	1
32	Заходила в центральное отделение,мужик-алкаш сидит прям на лавочке воняет от него в радиусе 3-х метров!!!!Ужас....Почему мы должны терпеть такое отношение к нам,к клиентам!И никто не выгнал это чудо из отделения!Самим приятно работать в такой атмосфере?Мало того талон взяла,подхожу к окну,и тут же отправили в другое окно)Почему так?	1	0
33	Ужас просто пришёл за посылкой отказали в выдачи хотя в оф приложении сказано можно забрать	1	0
34	Электронная очередь проблему очередей не сильно решает, к сожалению.	3	
35	Три года работаю с этой почтой. Никаких нареканий все быстро, четко а с упрощением системы получать посылки стало ещё быстрее.	5	1
36	Слишком долгое ожидание в очереди	2	
37	Ужасное грубое отношение к клиентам. Информация отсутствует, если нет сотрудника, не понятно окно работает или нет! Для того чтобы купить конверт необходимо взять талон и отстоять очередь. Несмотря на то что есть отдельное окно которое реализует канцелярские и почтовые товары. Невозможно подать заявление на розыск не доставленного отправления так как это подразделение не работает в вечернее время. Не обращайтесь за услугами в это отделение. Испортят настроение только потеряете время.	1	0
38	"Лупоглазая баба перепутала букву в фамилии когда писала своей корявой рукой и создала этим задержку в неделю, другая теперь не отдает посылку, третья про*бала заявление на переадресацию. Четвертая истерично орет на горячей линии по поддержке клиентов.
Не советую отправлять посылки, лучше переплатить у частников 50-100р и посылка придет вовремя, и нервы, время не потратите лишнее.
Алиэкспресс посылки можно забирать, но не больше!!

Почта России, этим все сказано."	1	0
39	Никогда не попадаю на большие очереди, в отделении чисто, все работают оперативно. Для центрального отделения это прям супер :) а ещё там три окна, два из них работают и на выдачу и на отправку одновременно, т.е. необязательно стоять и ждать пока перед тобой отправят три посылки, если тебе надо быстренько получить свою бандерольку. Это прекрасно. Раньше было всего одно окно для всего.	5	1
40	Много переезжаю, поэтому бывала на многих почтах, и всегда у меня это вызывало стресс! Но это отделение мне очень понравилось! Отправляла посылку, Работницы почты были очень доброжелательны, Всё объяснили-пояснили, помогли отправить! Спасибо вам за хорошее настроение!	5	1
41	"Большое спасибо за гашение ""Дни тюркской письменности и культуры"". Всё пришло в великолепной сохранности, штемпеля чёткие, поставлены там где надо - НИКАКИХ ЗАМЕЧАНИЙ! ПРЕЛЕСТЬ! С наступающим Новым Годом! Пусть в Новом году у ВСЕХ работников Почты России РАСТЁТ ЗАРПЛАТА!!! Удачи Вам!"	5	1
42	Надо было отправить посылку, мало того что имея 3 окна работает всего одно, так еще нет ни какой упаковки, что бы это узнать мне пришлось отстоять в очереди. Посоветовали отправить бандеролью, так и там накладка нет пакетов. И это центральное отделение.	1	0
43	Почтовое отделение на самом деле работает до 6, а не до 7)	2	
44	Отличное отделение, только положительные эмоции, сотрудники молодцы! Обслуживаюсь здесь более трех лет	5	1
45	"Ужасный персонал. Официальный график до 19.00 в будни дни. А они закрываются в 17.00 и при этом находятся еще там. Когда захотят - тогда закроются. Вторая касса закралась. Спросил причину «ой, извините, не могу вас обслужить» в итоге забирал свой заказ час. 

1. Медленный персонал
2: у оператора проблемы с зрением и слухом
3: нагло общаются и не выдают накладные 
4: слышу как звонят в рабочий телефон. Оператор не взяв трубку сказал «достали уже»

Я не рекомендую. Я настаиваю уволить данный персонал!"	1	0
46	Снова работают до 17:00 не пишут до скольки работают завтра и не открывают дверь чтобы сказать!	1	0
47	"Ужаснейший график работы! Который день до 17:00 и раз в два дня новая табличка с Новым графиком. Воскресенье, понедельник выходные. 
Отчего скапливаются жуткие очереди. 
Хожу четвёртый день, не могу получить посылку"	1	0
48	Не соответствует режим работы !	1	0
49	"В 16:59 19.07.22 дергаю дверь 
Объявление: по техническим причинам до 17:00 работают

Время 16:59, напоминаю 

Стучусь- не открывают 
Опаздываю на самолёт 
Посылка хранится 7 календарных дней
Учитывая выходные этого отдаления-
Забрать уже никак не успею
Посылка уйдёт назад

Заранее никаких оповещений о том, что закроются раньше- не было 

В 17:04 подходит девушка и ее запускают 
Я объясняю так же свою ситуацию о самолёте и о том, что не успею забрать, посылка уйдёт 

Внутри так же стоят люди и их обслуживают.

Сотрудница закрывает мне перед носом дверь в полушёпот озвучивая МАТЫ!!!

Захлопывая дверь сотрудница ранила мне руку!!!

Это уже совсем потеряна совесть????"	1	0
50	"Со слов кассира данной почты вышестоящее руководство дало им распоряжение отправлять Заказные письма первым классом, тем самым брать с людей в два раза больше денег. Стоимость отправки заказного письма 79 руб 40 коп, первым же классом оно вам обойдётся в 180 руб. Девушка была крайне недовольна тем, что я настоял на том чтобы данное письмо всё-таки отправили заказным письмом.
 Если вы даже указали, что письмо надо отправить заказным, а не первым классом кассир всё-таки может отправить его первым классом несмотря на вашу просьбу.
 Будьте внимательны с данным отделением почты...."	1	0
51	Кто так же как и я хотел бы забрать посылку в Субботу до 18:00, у вас не получится! Отделение по Субботам работает до 16:00, но кто бы знал!? Посмотрела информацию по 2ГИС, указано до 18:00, пришла в начале 6-ого к закрытым дверям! Обновите пожалуйста информацию, что по Субботам вы работаете не до 18:00, а до 16:00 !!!	1	0
52	Все понравилось, отличное обслуживание. Отправлял посылку, сотрудники помогли со всем процессом. Рекомендую!	5	1
53	Рядом с домом))очереди никогда не встречала ещё пока)) обслуживают быстро)) у меня подключено к номеру телефона , поэтому можно без паспорта прийти и ничего заполнять не надо))просто смс на телефон и все)) занимает 1-2 минуты и посылка у меня )) надеюсь не столкнулись с проблемами , что отписывали ниже ((	5	1
54	Ужасно! Тут указано, что выходной сб, вс, а по факту понедельник - выходной, ещё и работают до 16:00. Ехала из другого города специально за посылкой, из-за вас придётся перенести ещё на неделю. Трубки не берут. До этого забирала посылку было отвратительно! Женщина при мне стояла около 40 минут, ждала, потому что работница ушла куда-то с ее паспортом, в итоге посылки нет и настроения возвращаться тоже	1	0
55	Выходной в понедельник???	1	0
56	Нет систематизации, нет порядка: посылки не могут найти, соответственно. Приходится тратить своё время, ходить по несколько раз в отделение за одной посылкой. Сотрудники грубят, включают «защиту», но, уважаемые, наведите порядок в отделение, каждый в своём (это общее к Почте России), и не нужно будет проявлять негатив к клиентам! Это же так просто! Руководителю большой минус. Лайфхак: разложите посылки по числам от 1 до 31. Числа соответствуют дате в любом месяце. И будет все систематизировано, по полочкам: и Вы менее напряжены, и клиенты не тратят своё драгоценное время из-за плохой организации процессов.	2	
57	Это очень долго господа руководители почты России! Народ на улице стоит!	2	
58	Когда уже устаканится рабочий график с выходными днями???	2	
59	"Место неплохое, рбслуживают вроде быстро.
Но на улице холода, а заставляют очередь ждать на улице!! Стряла на улице 15 в очереди + оказалось на почте человека 4 и кто в машине очереди ждал."	2	
60	Рыба гниет с головы... ужасное отношение, полностью не компетентный персонал. Начальник, это индивидуум, которому место далеко не с людьми работать. Готовьтесь, если будуте отстаивать свои права, будете оскорблены отборными матами «начальника».	1	0
61	"Мы переехали в этот район, а до этого пользовались другим отделением Почты России. Так вот в сравнении с ним здесь отличное обслуживание. Ни разу не было негатива. Девушки молодые, активные, шустрые. Обслуживают быстро. 
С тем негативом, что пишут ниже, я не сталкивалась. Поэтому от меня 5 звёзд!!"	5	1
62	Вежливые сотрудники! Отлично и быстро обслуживают :)	5	1
63	Во втором окошке сидит кукушка, пришла за посылкой , говорит не та фамилия, говорю документ сейчас скан скину о смене фамилии или покажу, не стала даже смотреть, требовала в бумажном виде!!!21 век на дворе, многие документы в электронном носителе имеются как скан!!! До этого с этим проблем не было, когда другая девушка сидела!!!	1	0
64	Много раз забирал посылки, проблем никаких!	5	1
65	Хорошее отделение, вежливый персонал, работают быстро. На самом деле удивлён что есть негативные отзывы, просто есть с чем сравнить и это не только почта в Абакане. По телефону так же консультируют вежливо. Время работы в гисе указано не верно, ну может это и хорошо, приезжаю по позже и обслуживаюсь без очередей 	5	1
66	Неудобное время работы филиала, ужас	1	0
67	Был сегодня в этом отделении. Пришел в 16.50. я не знал что работает отделение до 6. Мне там местная Мадама заявила да посылка здесь, забрать через час только сможете. А через час это 17.50 они уже закрываются и уходят умники Ху..вы. Хотя когда я просматривал в отслеживании посылка уже с утра была там и готова к выдачи. Да и когда пришел. Начал общаться с этой мадамой она мне а??? Что??? Я говорю посылка у меня здесь. Показываю документ она с документа так и не смогла найти мою посылку в итоге диктовал громко и четко трек код и ура по трек коду наконец-то нашла и вот сказала ну через час только сможете забрать.	2	
